"Equip ID","Minesite","Equipment","Equipment Type","Model","Status","SerialNumber","Commissioning Date","Parent Product Family","Brand","Product Group","Created Date"
"6703","Bonikro/Mota","L70","950","950H","-1","N1A04717",,"WHEEL-TYPE LOADER","CAT","WHEEL-TYPE LOADER","05/11/2025"
"6704","Bonikro/Mota","L93","972","972G II","-1","AXN00589",,"WHEEL-TYPE LOADER","CAT","WHEEL-TYPE LOADER","05/11/2025"
"6705","Bonikro/Mota","L95","980","980L","-1","D8Z20516",,"WHEEL-TYPE LOADER","CAT","WHEEL-TYPE LOADER","05/11/2025"
"6707","Bonikro/Mota","L94","988","988K","-1","L8X00214",,"WHEEL-TYPE LOADER","CAT","WHEEL-TYPE LOADER","05/11/2025"
"6706","Bonikro/Mota","L97","988",,"-1","S3E00219",,,"CAT",,"05/11/2025"
"6708","Bonikro/Mota","L076","992","992K","-1","ZMX00611",,"WHEEL-TYPE LOADER","CAT","WHEEL-TYPE LOADER","05/11/2025"
"6654","Bonikro/Mota","D121","D9","D9R","-1","WDM04954",,"TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR","05/11/2025"
"6714","Bonikro/Mota","D122","D9","D9G","-1","AK400436",,"TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR","05/11/2025"
"6715","Bonikro/Mota","D123","D9","D9G","-1","AK400533",,"TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR","05/11/2025"
"6716","Bonikro/Mota","D126","D9","D9G","-1","AK400648",,"TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR","05/11/2025"
"6717","Bonikro/Mota","D128","D9","D9G","-1","AK400950",,"TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR","05/11/2025"
"6718","Bonikro/Mota","D129","D9","D9G","-1","AK400999",,"TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR","05/11/2025"
