"Equip ID","Minesite","Equipment","Equipment Type","Model","Status","SerialNumber","Commissioning Date","Parent Product Family","Brand","Product Group"
"3937","Fekola","WD002","834","834K","-1","L4Y00205","12/31/2018 4:00:00 PM","WHEEL DOZER","CAT","WHEEL DOZER"
"3938","Fekola","WD003","844","844K","-1","M4R00209","12/31/2018 4:00:00 PM","WHEEL DOZER","CAT","WHEEL DOZER"
"3939","Fekola","WD004","844","844K","-1","M4R00214","12/31/2018 4:00:00 PM","WHEEL DOZER","CAT","WHEEL DOZER"
"3940","Fekola","WL003","966","966H","-1","BJ601006","12/31/2018 4:00:00 PM","WHEEL-TYPE LOADER","CAT","WHEEL-TYPE LOADER"
"3941","Fekola","WL006","966","966H","-1","BJ600910","12/31/2018 4:00:00 PM","WHEEL-TYPE LOADER","CAT","WHEEL-TYPE LOADER"
"4532","Fekola","TWL11","980","980","-1","MK900353","12/31/2018 4:00:00 PM","WHEEL-TYPE LOADER","CAT","WHEEL-TYPE LOADER"
"3944","Fekola","TY001","980","980L","-1","D8Z20320","12/31/2018 4:00:00 PM","WHEEL-TYPE LOADER","CAT","WHEEL-TYPE LOADER"
"3819","Fekola","TY003","980","980","-1","MK900719","12/31/2018 4:00:00 PM","WHEEL-TYPE LOADER","CAT","WHEEL-TYPE LOADER"
"3942","Fekola","WL002","980","980H","-1","KZL00293","12/31/2018 4:00:00 PM","WHEEL-TYPE LOADER","CAT","WHEEL-TYPE LOADER"
"3943","Fekola","WL007","980","980H","-1","PF800569","12/31/2018 4:00:00 PM","WHEEL-TYPE LOADER","CAT","WHEEL-TYPE LOADER"
"3945","Fekola","WL010","980","980L","-1","D8Z20504","12/31/2018 4:00:00 PM","WHEEL-TYPE LOADER","CAT","WHEEL-TYPE LOADER"
"3821","Fekola","WL012","980","980","-1","MK900217","12/31/2018 4:00:00 PM","WHEEL-TYPE LOADER","CAT","WHEEL-TYPE LOADER"
"3822","Fekola","WL013","980","980","-1","MK900218","12/31/2018 4:00:00 PM","WHEEL-TYPE LOADER","CAT","WHEEL-TYPE LOADER"
"3823","Fekola","WL014","980","980","-1","MK900720","12/31/2018 4:00:00 PM","WHEEL-TYPE LOADER","CAT","WHEEL-TYPE LOADER"
"4424","Fekola","WL016","980","966 GC","-1","SGW02491","12/31/2018 4:00:00 PM","WHEEL-TYPE LOADER","CAT","WHEEL-TYPE LOADER"
"3946","Fekola","WL005","988","988K","-1","LWX00683","12/31/2018 4:00:00 PM","WHEEL-TYPE LOADER","CAT","WHEEL-TYPE LOADER"
"3947","Fekola","CWL008","992","992G","-1","AZX76002","12/31/2018 4:00:00 PM","WHEEL-TYPE LOADER","CAT","WHEEL-TYPE LOADER"
"3948","Fekola","WL004","992","992K","-1","ZMX00633","12/31/2018 4:00:00 PM","WHEEL-TYPE LOADER","CAT","WHEEL-TYPE LOADER"
"3949","Fekola","WL009","992","992K","-1","RM500249","12/31/2018 4:00:00 PM","WHEEL-TYPE LOADER","CAT","WHEEL-TYPE LOADER"
"3824","Fekola","WL015","992",,"-1","AP700434","12/31/2018 4:00:00 PM",,"CAT",
"6640","Fekola","WL017","992",,"-1","AP700532","12/31/2018 4:00:00 PM",,"CAT",
"3951","Fekola","GN033","C13","C13","-1","DH403711","12/31/2018 4:00:00 PM","ENGINE - GENERATOR SET","CAT","ENGINE - GENERATOR SET"
"3952","Fekola","GN012","C15","C15","-1","X4R00361","12/31/2018 4:00:00 PM","GENERATOR","CAT","GENERATOR"
"3950","Fekola","GN032","C15","C1.5DE13.5","-1","GB903695","12/31/2018 4:00:00 PM","GENERATOR","CAT","GENERATOR"
"3953","Fekola","SR101","C15","C15","-1","MCW16931","12/31/2018 4:00:00 PM","ENGINE - INDUSTRIAL","CAT","ENGINE - INDUSTRIAL"
"3954","Fekola","SR102","C15","C15","-1","MCW17332","12/31/2018 4:00:00 PM","ENGINE - INDUSTRIAL","CAT","ENGINE - INDUSTRIAL"
"3857","Fekola","FS001 LH","C32","C32","-1","TZB00302","12/31/2018 4:00:00 PM","ENGINE - MACHINE","CAT","ENGINE - MACHINE"
"3858","Fekola","FS001 RH","C32","C32","-1","TZB00290","12/31/2018 4:00:00 PM","ENGINE - MACHINE","CAT","ENGINE - MACHINE"
"3860","Fekola","FS002 LH","C32","C32","-1","TZB00306","12/31/2018 4:00:00 PM","ENGINE - MACHINE","CAT","ENGINE - MACHINE"
"3861","Fekola","FS002 RH","C32","C32","-1","TZB00305","12/31/2018 4:00:00 PM","ENGINE - MACHINE","CAT","ENGINE - MACHINE"
"4455","Fekola","GN018","C4","C4.4","-1","GLE01510","12/31/2018 4:00:00 PM","GENERATOR","CAT","ENGINE - GENERATOR SET"
"4456","Fekola","CP005","CS76","CS-76","-1","CYX01001","12/31/2018 4:00:00 PM","PAVING COMPACTOR","CAT","PAVING COMPACTOR"
"6145","Fekola","CP001","CS78B","CS-78B","-1","M8M00226","12/31/2018 12:00:00 AM","PAVING COMPACTOR","CAT","PAVING COMPACTOR"
"4453","Fekola","CP002","CS78B","CS-78B","-1","M8M00227","12/31/2018 4:00:00 PM","PAVING COMPACTOR","CAT","PAVING COMPACTOR"
"3955","Fekola","CP006","CS78B","CS78B","-1","M7800403","12/31/2018 4:00:00 PM","PAVING COMPACTOR","CAT","PAVING COMPACTOR"
"3956","Fekola","CP007","CS78B","CS78B","-1","M7800507","12/31/2018 4:00:00 PM","PAVING COMPACTOR","CAT","PAVING COMPACTOR"
"3957","Fekola","CP008","CS78B","CS78B","-1","M7800577","12/31/2018 4:00:00 PM","PAVING COMPACTOR","CAT","PAVING COMPACTOR"
"3958","Fekola","TD006","D10","D10T2","-1","RAB00313","12/31/2018 4:00:00 PM","TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR"
"3959","Fekola","TD007","D10","D10T2","-1","RAB00535","12/31/2018 4:00:00 PM","TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR"
"3960","Fekola","TD009","D10","D10T2","-1","RAB00824","12/31/2018 4:00:00 PM","TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR"
"3961","Fekola","TD010","D10","D10T2","-1","RAB00825","12/31/2018 4:00:00 PM","TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR"
"3962","Fekola","TD011","D10","D10T2","-1","RAB00826","12/31/2018 4:00:00 PM","TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR"
"3963","Fekola","TD012","D10","D10T2","-1","RAB00852","12/31/2018 4:00:00 PM","TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR"
"3964","Fekola","TD013","D10","D10T2","-1","RAB00853","12/31/2018 4:00:00 PM","TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR"
"3965","Fekola","TD015","D10","D10T2","-1","RAB01157","12/31/2018 4:00:00 PM","TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR"
"3966","Fekola","TD016","D10","D10T2","-1","RAB01158","12/31/2018 4:00:00 PM","TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR"
"3967","Fekola","TD021","D10","D10T2","-1","RAB01273","12/31/2018 4:00:00 PM","TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR"
"3968","Fekola","TD022","D10","D10T2","-1","RAB01278","12/31/2018 4:00:00 PM","TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR"
"3969","Fekola","TD023","D10","D10T2","-1","RAB01279","12/31/2018 4:00:00 PM","TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR"
"6051","Fekola","TD024","D5","D5","-1","Z2N01030","12/31/2018 4:00:00 PM","TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR"
"3970","Fekola","TD003","D6","D6K2","-1","MXK00239","12/31/2018 4:00:00 PM","TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR"
"3978","Fekola","TD001","D9","D9R","-1","WDM00859","12/31/2018 4:00:00 PM","TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR"
"3979","Fekola","TD002","D9","D9R","-1","WDM00858","12/31/2018 4:00:00 PM","TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR"
"3980","Fekola","TD004","D9","D9R","-1","WDM04437","12/31/2018 4:00:00 PM","TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR"
"3981","Fekola","TD005","D9","D9R","-1","WDM04430","12/31/2018 4:00:00 PM","TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR"
"3971","Fekola","TD014","D9","D9G","-1","AK400363","12/31/2018 4:00:00 PM","TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR"
"6141","Fekola","TD017","D9","D9G","0","AK400439","12/31/2018 8:00:00 AM","TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR"
"3973","Fekola","TD018","D9","D9G","-1","AK400450","12/31/2018 4:00:00 PM","TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR"
"3974","Fekola","TD019","D9","D9G","0","AK400535","12/31/2018 8:00:00 AM","TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR"
"3975","Fekola","TD020","D9","D9G","-1","AK400562","12/31/2018 4:00:00 PM","TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR"
"4438","Fekola","TD025","D9","D9G","0","AK400678","12/31/2018 8:00:00 AM","TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR"
"4439","Fekola","TD026","D9","D9G","0","AK400679","12/31/2018 8:00:00 AM","TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR"
"3972","Fekola","TTD17","D9","D9G","-1","AK400439","12/31/2018 4:00:00 PM","TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR"
"6643","Fekola","TTD19","D9","D9G","-1","AK400535","12/30/2018 4:00:00 PM","TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR"
"6143","Fekola","TTD25","D9","D9G","-1","AK400678","12/31/2018 4:00:00 PM","TRACK-TYPE TRACTOR","CAT","TRACK-TYPE TRACTOR"
